"Delovno aktivno prebivalstvo, registrirane brezposelne osebe in stopnje"
"registrirane brezposelnosti po: OBÈINE, LETO, SPOL , MERITVE"

" ";" ";"Spol - SKUPAJ"
" ";" ";"4 Stopnja registrirane brezposelnosti"
"Ajdovšèina"
" ";"2012";10.7
" ";"2013";11.4
" ";"2014";11.2
" ";"2015";10.1
" ";"2016";9.2
"Idrija"
" ";"2005";2.5
" ";"2006";1.9
" ";"2007";1.5
" ";"2008";2.2
" ";"2009";4.6
" ";"2010";5.7
" ";"2011";6.6
" ";"2012";5.8
" ";"2013";7.1
" ";"2014";7.6
" ";"2015";7.0
" ";"2016";6.0
"Ig"
" ";"2005";3.4
" ";"2006";3.9
" ";"2007";4.4
" ";"2008";3.8
" ";"2009";5.0
" ";"2010";6.6
" ";"2011";7.9
" ";"2012";7.4
" ";"2013";8.7
" ";"2014";9.3
" ";"2015";8.6
" ";"2016";7.3
"Ilirska Bistrica"
" ";"2005";9.2
" ";"2006";8.6
" ";"2007";6.5
" ";"2008";5.8
" ";"2009";7.8
" ";"2010";9.0
" ";"2011";10.4
" ";"2012";10.3
" ";"2013";12.1
" ";"2014";12.1
" ";"2015";11.5
" ";"2016";10.3
"Ivanèna Gorica"
" ";"2005";6.7
" ";"2006";5.6
" ";"2007";4.6
" ";"2008";4.1
" ";"2009";5.7
" ";"2010";7.1
" ";"2011";7.8
" ";"2012";8.4
" ";"2013";9.5
" ";"2014";8.7
" ";"2015";8.1
" ";"2016";7.5
"Izola/Isola"
" ";"2005";10.0
" ";"2006";8.7
" ";"2007";7.5
" ";"2008";6.1
" ";"2009";7.5
" ";"2010";9.3
" ";"2011";11.6
" ";"2012";11.8
" ";"2013";12.7
" ";"2014";12.6
" ";"2015";12.1
" ";"2016";10.4
"Jesenice"
" ";"2005";10.6
" ";"2006";8.5
" ";"2007";5.7
" ";"2008";4.9
" ";"2009";7.8
" ";"2010";8.6
" ";"2011";10.4
" ";"2012";11.7
" ";"2013";12.7
" ";"2014";12.5
" ";"2015";10.8
" ";"2016";8.6
"Jezersko"
" ";"2005";7.5
" ";"2006";6.4
" ";"2007";4.1
" ";"2008";3.3
" ";"2009";4.7
" ";"2010";6.2
" ";"2011";5.5
" ";"2012";6.5
" ";"2013";6.9
" ";"2014";7.1
" ";"2015";6.6
" ";"2016";6.5
"Juršinci"
" ";"2005";12.9
" ";"2006";11.3
" ";"2007";8.2
" ";"2008";7.7
" ";"2009";12.0
" ";"2010";13.1
" ";"2011";12.0
" ";"2012";11.3
" ";"2013";12.0
" ";"2014";11.2
" ";"2015";10.0
" ";"2016";8.3
"Kamnik"
" ";"2005";6.6
" ";"2006";6.3
" ";"2007";4.6
" ";"2008";3.7
" ";"2009";6.0
" ";"2010";8.1
" ";"2011";8.5
" ";"2012";9.1
" ";"2013";10.4
" ";"2014";10.6
" ";"2015";10.4
" ";"2016";8.6
"Kanal"
" ";"2005";6.8
" ";"2006";6.0
" ";"2007";4.2
" ";"2008";3.5
" ";"2009";7.4
" ";"2010";9.5
" ";"2011";11.1
" ";"2012";11.7
" ";"2013";13.2
" ";"2014";13.2
" ";"2015";12.7
" ";"2016";9.8
"Kidrièevo"
" ";"2005";10.1
" ";"2006";9.3
" ";"2007";8.1
" ";"2008";6.8
" ";"2009";10.0
" ";"2010";11.1
" ";"2011";10.1
" ";"2012";10.5
" ";"2013";10.3
" ";"2014";10.7
" ";"2015";9.6
" ";"2016";8.9
"Kobarid"
" ";"2005";9.6
" ";"2006";9.1
" ";"2007";7.1
" ";"2008";6.0
" ";"2009";8.8
" ";"2010";9.6
" ";"2011";8.4
" ";"2012";8.4
" ";"2013";9.7
" ";"2014";10.2
" ";"2015";9.8
" ";"2016";8.2
"Kobilje"
" ";"2005";24.9
" ";"2006";21.3
" ";"2007";15.1
" ";"2008";12.4
" ";"2009";17.0
" ";"2010";21.4
" ";"2011";19.0
" ";"2012";16.3
" ";"2013";17.0
" ";"2014";17.7
" ";"2015";15.8
" ";"2016";15.4
"Koèevje"
" ";"2005";14.8
" ";"2006";15.0
" ";"2007";12.7
" ";"2008";11.4
" ";"2009";16.5
" ";"2010";18.4
" ";"2011";19.2
" ";"2012";20.7
" ";"2013";22.7
" ";"2014";23.0
" ";"2015";23.6
" ";"2016";22.2
"Komen"
" ";"2005";5.0
" ";"2006";4.6
" ";"2007";5.0
" ";"2008";4.1
" ";"2009";7.0
" ";"2010";8.3
" ";"2011";8.9
" ";"2012";10.5
" ";"2013";11.5
" ";"2014";11.6
" ";"2015";10.7
" ";"2016";11.0
"Komenda"
" ";"2005";5.8
" ";"2006";4.9
" ";"2007";4.6
" ";"2008";3.5
" ";"2009";4.9
" ";"2010";6.9
" ";"2011";7.5
" ";"2012";7.9
" ";"2013";8.2
" ";"2014";8.4
" ";"2015";7.4
" ";"2016";6.3
"Koper/Capodistria"
" ";"2005";7.0
" ";"2006";7.4
" ";"2007";6.5
" ";"2008";5.4
" ";"2009";7.0
" ";"2010";7.5
" ";"2011";9.3
" ";"2012";9.8
" ";"2013";11.3
" ";"2014";11.7
" ";"2015";10.8
" ";"2016";9.8
"Kostanjevica na Krki"
" ";"2005";-
" ";"2006";-
" ";"2007";6.4
" ";"2008";5.8
" ";"2009";8.9
" ";"2010";9.4
" ";"2011";10.7
" ";"2012";12.1
" ";"2013";12.7
" ";"2014";11.5
" ";"2015";11.2
" ";"2016";10.2
"Kostel"
" ";"2005";6.0
" ";"2006";8.1
" ";"2007";11.9
" ";"2008";10.0
" ";"2009";15.7
" ";"2010";15.0
" ";"2011";15.6
" ";"2012";14.6
" ";"2013";12.5
" ";"2014";17.5
" ";"2015";17.6
" ";"2016";14.9
"Kozje"
" ";"2005";15.3
" ";"2006";17.4
" ";"2007";15.7
" ";"2008";13.0
" ";"2009";14.1
" ";"2010";14.5
" ";"2011";13.8
" ";"2012";12.9
" ";"2013";13.6
" ";"2014";14.1
" ";"2015";13.2
" ";"2016";13.2
"Kranj"
" ";"2005";8.9
" ";"2006";7.9
" ";"2007";6.1
" ";"2008";5.6
" ";"2009";8.4
" ";"2010";9.9
" ";"2011";10.3
" ";"2012";10.3
" ";"2013";11.4
" ";"2014";10.8
" ";"2015";9.9
" ";"2016";9.1
"Kranjska Gora"
" ";"2005";7.4
" ";"2006";7.0
" ";"2007";5.7
" ";"2008";4.8
" ";"2009";6.2
" ";"2010";7.6
" ";"2011";8.4
" ";"2012";8.6
" ";"2013";9.4
" ";"2014";9.6
" ";"2015";8.0
" ";"2016";7.3
