"Polnoletni obsojenci (znani storilci) po: KAZNIVO DEJANJE, GLAVNA"
"KAZEN, SPOL , LETO"

" ";" ";"Spol - SKUPAJ";" ";" ";"Moški";" ";" ";"Ženske";" ";" "
" ";"16 Varnostni ukrep brez izreka kazni";-;-;-;-;-;-;-;-;-
"4.XXXV KAZNIVA DEJANJA ZOPER MEDNARODNO PRAVO"
" ";"111 Zaporna kazen (nepogojna)";-;-;-;-;-;-;-;-;-
" ";"112 Zaporna kazen (pogojna)";-;-;-;-;-;-;-;-;-
" ";"12 Denarna kazen";-;-;-;-;-;-;-;-;-
" ";"13 Sodni opomin";-;-;-;-;-;-;-;-;-
" ";"14 Kazen opušèena";-;-;-;-;-;-;-;-;-
" ";"16 Varnostni ukrep brez izreka kazni";-;1;-;-;1;-;-;-;-
"5.XIV KAZNIVA DEJANJA ZOPER ÈLOVEÈNOST"
" ";"111 Zaporna kazen (nepogojna)";-;-;-;-;-;-;-;-;-
" ";"112 Zaporna kazen (pogojna)";1;-;1;1;-;1;-;-;-
" ";"12 Denarna kazen";-;-;-;-;-;-;-;-;-
" ";"13 Sodni opomin";-;-;-;-;-;-;-;-;-
" ";"14 Kazen opušèena";-;-;-;-;-;-;-;-;-
" ";"16 Varnostni ukrep brez izreka kazni";-;-;-;-;-;-;-;-;-
"5.XV KAZNIVA DEJANJA ZOPER ŽIVLJENJE IN TELO"
" ";"111 Zaporna kazen (nepogojna)";72;15;8;68;15;8;4;-;-
" ";"112 Zaporna kazen (pogojna)";422;53;45;376;48;43;46;5;2
" ";"12 Denarna kazen";40;11;4;37;10;4;3;1;-
" ";"13 Sodni opomin";12;-;-;11;-;-;1;-;-
" ";"14 Kazen opušèena";1;4;-;-;3;-;1;1;-
" ";"16 Varnostni ukrep brez izreka kazni";6;3;3;6;3;2;-;-;1
"5.XVI KAZNIVA DEJANJA ZOPER ÈLOVEKOVE PRAVICE IN SVOBOŠÈINE"
" ";"111 Zaporna kazen (nepogojna)";24;5;4;23;3;4;1;2;-
" ";"112 Zaporna kazen (pogojna)";256;90;91;220;81;78;36;9;13
" ";"12 Denarna kazen";35;19;6;30;17;6;5;2;-
" ";"13 Sodni opomin";11;-;-;8;-;-;3;-;-
" ";"14 Kazen opušèena";-;8;3;-;5;2;-;3;1
" ";"16 Varnostni ukrep brez izreka kazni";2;-;1;2;-;1;-;-;-
"5.XVIII KAZNIVA DEJANJA ZOPER ÈAST IN DOBRO IME"
" ";"111 Zaporna kazen (nepogojna)";3;-;-;2;-;-;1;-;-
" ";"112 Zaporna kazen (pogojna)";21;2;-;16;1;-;5;1;-
" ";"12 Denarna kazen";17;1;1;13;1;1;4;-;-
" ";"13 Sodni opomin";13;-;-;11;-;-;2;-;-
" ";"14 Kazen opušèena";-;-;1;-;-;1;-;-;-
" ";"16 Varnostni ukrep brez izreka kazni";-;-;-;-;-;-;-;-;-
"5.XIX KAZNIVA DEJANJA ZOPER SPOLNO NEDOTAKLJIVOST"
" ";"111 Zaporna kazen (nepogojna)";40;9;8;37;9;8;3;-;-
" ";"112 Zaporna kazen (pogojna)";60;7;7;58;7;7;2;-;-
" ";"12 Denarna kazen";-;-;-;-;-;-;-;-;-
" ";"13 Sodni opomin";-;-;-;-;-;-;-;-;-
" ";"14 Kazen opušèena";-;-;-;-;-;-;-;-;-
" ";"16 Varnostni ukrep brez izreka kazni";1;-;1;1;-;1;-;-;-
"5.XX KAZNIVA DEJANJA ZOPER ÈLOVEKOVO ZDRAVJE"
" ";"111 Zaporna kazen (nepogojna)";186;51;46;178;50;39;8;1;7
" ";"112 Zaporna kazen (pogojna)";434;147;103;392;142;91;42;5;12
" ";"12 Denarna kazen";2;-;-;2;-;-;-;-;-
